Bet: 1.0 | Check: 0.0 | **: 0.0 |  Bet: 0.0
Check: 0.7773 | Bet: 0.2227 |  Check: 0.0 |  Bet: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | Beta: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Check: 0.9997 | Bet: 0.0003 |  Check: 0.0 | check: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 |  : 0.0
Fold: 1.0 | Call: 0.0 |  Fold: 0.0 | _fold: 0.0
Fold: 0.9933 | Call: 0.0067 |  Fold: 0.0 | F: 0.0
Bet: 0.9047 | Check: 0.0953 |  Bet: 0.0 | bet: 0.0
Bet: 1.0 |  Bet: 0.0 | Check: 0.0 | : 0.0
Bet: 0.9526 | Check: 0.0474 | bet: 0.0 |  Bet: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 1.0 |  Bet: 0.0 | Check: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Fold: 0.9999 | Call: 0.0001 |  Fold: 0.0 | Folder: 0.0
Check: 0.9983 | Bet: 0.0017 |  Check: 0.0 | check: 0.0
Fold: 0.9987 | Call: 0.0013 |  Fold: 0.0 | Folder: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Check: 0.9841 | Bet: 0.0159 |  Check: 0.0 | check: 0.0
Check: 0.9994 | Bet: 0.0006 |  Check: 0.0 | Fold: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Fold: 1.0 | Call: 0.0 |  Fold: 0.0 | _fold: 0.0
Fold: 1.0 | Call: 0.0 |  Fold: 0.0 | _fold: 0.0
Check: 0.9981 | Bet: 0.0019 |  Check: 0.0 | check: 0.0
Bet: 0.9325 | Check: 0.0675 |  Bet: 0.0 | bet: 0.0
Fold: 1.0 | _fold: 0.0 |  Fold: 0.0 | Check: 0.0
Bet: 1.0 |  Bet: 0.0 | Check: 0.0 | : 0.0
Fold: 1.0 | _fold: 0.0 |  Fold: 0.0 | Call: 0.0
Check: 0.9994 | Bet: 0.0006 |  Check: 0.0 | Fold: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 0.974 | Check: 0.026 |  Bet: 0.0 | bet: 0.0
Fold: 0.852 | Call: 0.148 |  Fold: 0.0 | fold: 0.0
Fold: 0.9954 | Call: 0.0046 |  Fold: 0.0 | fold: 0.0
Fold: 0.9924 | Call: 0.0076 |  Fold: 0.0 | Folder: 0.0
Bet: 1.0 |  Bet: 0.0 | Check: 0.0 |  : 0.0
Check: 0.9941 | Bet: 0.0059 |  Check: 0.0 | check: 0.0
Fold: 0.9998 | Call: 0.0002 |  Fold: 0.0 | Check: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 1.0 |  Bet: 0.0 | Check: 0.0 | : 0.0
Fold: 1.0 |  Fold: 0.0 | Call: 0.0 | : 0.0
Bet: 0.974 | Check: 0.026 |  Bet: 0.0 | bet: 0.0
Bet: 0.9627 | Check: 0.0373 |  Bet: 0.0 | bet: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 0.974 | Check: 0.026 |  Bet: 0.0 | bet: 0.0
Call: 1.0 | Fold: 0.0 |  Call: 0.0 | Bet: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Check: 0.974 | Bet: 0.026 |  Check: 0.0 | check: 0.0
Check: 0.9985 | Bet: 0.0015 |  Check: 0.0 | check: 0.0
Check: 0.9981 | Bet: 0.0019 |  Check: 0.0 | check: 0.0
Fold: 1.0 | Call: 0.0 | _fold: 0.0 |  Fold: 0.0
Check: 0.9948 | Bet: 0.0052 |  Check: 0.0 | check: 0.0
