Call: 0.9933 | Fold: 0.0067 |  Call: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 0.7773 | Check: 0.2227 |  Bet: 0.0 | bet: 0.0
Fold: 1.0 |  Fold: 0.0 | Call: 0.0 | _fold: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | bet: 0.0
Call: 0.5622 | Fold: 0.4378 |  Fold: 0.0 |  Call: 0.0
Check: 0.9399 | Bet: 0.0601 |  Check: 0.0 |  Bet: 0.0
Check: 0.7311 | Bet: 0.2689 |  Bet: 0.0 |  Check: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Check: 0.5 | Bet: 0.5 |  Bet: 0.0 | bet: 0.0
Bet: 0.9526 | Check: 0.0474 |  Bet: 0.0 | bet: 0.0
Bet: 0.9046 | Check: 0.0953 |  Bet: 0.0 | bet: 0.0
Fold: 0.5622 | Call: 0.4378 |  Fold: 0.0 | fold: 0.0
Fold: 0.9841 | Call: 0.0159 |  Fold: 0.0 | fold: 0.0
Call: 1.0 |  Call: 0.0 | Fold: 0.0 | Bet: 0.0
Fold: 1.0 | Call: 0.0 | Bet: 0.0 |  Fold: 0.0
Bet: 0.852 | Check: 0.148 |  Bet: 0.0 | bet: 0.0
Bet: 0.9997 | Check: 0.0003 |  Bet: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 0.9241 | Check: 0.0759 |  Bet: 0.0 | bet: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 0.9466 | Check: 0.0534 | Fold: 0.0 |  Bet: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Bet: 0.9707 | Check: 0.0293 |  Bet: 0.0 | bet: 0.0
Fold: 1.0 | _fold: 0.0 | Call: 0.0 | Bet: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 0.9859 | Check: 0.0141 |  Bet: 0.0 | Fold: 0.0
Bet: 1.0 |  Bet: 0.0 | Check: 0.0 | : 0.0
Fold: 1.0 | Call: 0.0 |  Fold: 0.0 | _fold: 0.0
Bet: 0.9841 | Check: 0.0159 |  Bet: 0.0 | Fold: 0.0
Fold: 0.7773 | Call: 0.2227 |  Fold: 0.0 | fold: 0.0
Bet: 0.9975 | Check: 0.0025 |  Bet: 0.0 | Fold: 0.0
Bet: 0.9992 | Check: 0.0008 |  Bet: 0.0 | bet: 0.0
Bet: 0.9983 | Check: 0.0017 |  Bet: 0.0 | Fold: 0.0
Bet: 0.9997 | Check: 0.0003 |  Bet: 0.0 | Call: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 0.9985 | Check: 0.0015 |  Bet: 0.0 | Fold: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Call: 0.9707 | Fold: 0.0293 | Cal: 0.0 |  Call: 0.0
Bet: 0.9999 | Check: 0.0001 |  Bet: 0.0 | : 0.0
Bet: 0.9975 | Check: 0.0025 |  Bet: 0.0 | Fold: 0.0
Bet: 0.9859 | Check: 0.0141 |  Bet: 0.0 | bet: 0.0
Bet: 0.9992 | Check: 0.0008 |  Bet: 0.0 | bet: 0.0
Bet: 1.0 |  Bet: 0.0 | Check: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Call: 1.0 |  Call: 0.0 | Fold: 0.0 | Bet: 0.0
Bet: 0.9954 | Check: 0.0046 |  Bet: 0.0 | bet: 0.0
Bet: 1.0 |  Bet: 0.0 | Check: 0.0 | : 0.0
Bet: 0.9997 | Check: 0.0003 |  Bet: 0.0 | Call: 0.0
Bet: 1.0 |  Bet: 0.0 | : 0.0 | Check: 0.0
Bet: 0.999 | Check: 0.001 |  Bet: 0.0 | Call: 0.0
