Call: 0.9957 | Fold: 0.0043 | Since: 0.0 | **: 0.0
Bet: 0.9993 | Check: 0.0007 | : 0.0 |  Bet: 0.0
Bet: 0.93 | Check: 0.07 |  Bet: 0.0 | : 0.0
Bet: 0.9806 | Check: 0.0194 |  Bet: 0.0 | : 0.0
Fold: 1.0 | Call: 0.0 |  Fold: 0.0 | fold: 0.0
Fold: 1.0 | Call: 0.0 | : 0.0 |  Fold: 0.0
Bet: 0.9988 | Check: 0.0012 |  Bet: 0.0 | : 0.0
Check: 1.0 | Bet: 0.0 |  Check: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Check: 1.0 | Bet: 0.0 |  Check: 0.0 | : 0.0
Check: 0.9741 | Bet: 0.0259 |  Check: 0.0 |  Bet: 0.0
Check: 0.9944 | Bet: 0.0056 |  Check: 0.0 | : 0.0
Check: 0.9996 | Bet: 0.0004 |  Check: 0.0 | Fold: 0.0
Check: 0.9998 | Bet: 0.0002 | : 0.0 |  Check: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 | **: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Fold: 1.0 | Call: 0.0 |  Fold: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Fold: 1.0 | Call: 0.0 | : 0.0 |  Fold: 0.0
Bet: 0.9999 | Check: 0.0001 | : 0.0 |  Bet: 0.0
Check: 0.9999 | Bet: 0.0001 | : 0.0 | Fold: 0.0
Call: 1.0 | Fold: 0.0 | CallCheck: 0.0 |  Call: 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 |  Check: 0.0
Fold: 0.9986 | Call: 0.0014 | F: 0.0 |  Fold: 0.0
Check: 0.9999 | Bet: 0.0001 | : 0.0 |  Check: 0.0
Check: 0.9999 | Bet: 0.0001 | : 0.0 |  Check: 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 |  Check: 0.0
Bet: 0.9999 | Check: 0.0 | : 0.0 |  Bet: 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 |  Check: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
