Check: 0.8042 | Bet: 0.1958 | Since: 0.0 | : 0.0
Fold: 0.9999 | Call: 0.0001 | **: 0.0 |  Fold: 0.0
Check: 0.9979 | Bet: 0.0021 | : 0.0 |  Check: 0.0
Bet: 0.9976 | Check: 0.0024 |  Bet: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Check: 0.7607 | Bet: 0.2393 |  Check: 0.0 |  Bet: 0.0
Fold: 0.9998 | Call: 0.0002 |  Fold: 0.0 | fold: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Fold: 1.0 | Call: 0.0 |  Fold: 0.0 | F: 0.0
Check: 0.8871 | Bet: 0.1129 |  Check: 0.0 |  Bet: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 | **: 0.0
Check: 0.9919 | Bet: 0.0081 |  Check: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 | **: 0.0
Check: 0.9997 | Bet: 0.0003 |  Check: 0.0 | : 0.0
Check: 0.9443 | Bet: 0.0557 |  Check: 0.0 |  Bet: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 | **: 0.0
Check: 0.9998 | Bet: 0.0002 | : 0.0 | Fold: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 | **: 0.0
Fold: 0.9824 | Call: 0.0176 |  Fold: 0.0 | fold: 0.0
Bet: 0.9939 | Check: 0.0061 | : 0.0 |  Bet: 0.0
Check: 1.0 | Bet: 0.0 | Fold: 0.0 | : 0.0
Fold: 1.0 | Call: 0.0 | : 0.0 |  Fold: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 | **: 0.0
Bet: 0.9898 | Check: 0.0102 | : 0.0 |  Bet: 0.0
Check: 0.9997 | Bet: 0.0003 | : 0.0 | Fold: 0.0
Bet: 0.976 | Check: 0.024 | : 0.0 |  Bet: 0.0
Bet: 0.9847 | Check: 0.0153 | : 0.0 |  Bet: 0.0
Fold: 1.0 | Call: 0.0 | : 0.0 | F: 0.0
Check: 0.9996 | Bet: 0.0004 | : 0.0 |  Check: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 | **: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 | **: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 | **: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 | **: 0.0
Check: 1.0 | Bet: 0.0 | Fold: 0.0 | : 0.0
Fold: 0.9564 | Call: 0.0436 |  Fold: 0.0 | fold: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 | **: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 | **: 0.0
Check: 1.0 | Bet: 0.0 | Fold: 0.0 | : 0.0
Fold: 0.9996 | Call: 0.0004 |  Fold: 0.0 | fold: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 | **: 0.0
Fold: 0.9998 | Call: 0.0002 |  Fold: 0.0 | fold: 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 | Fold: 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 |  Check: 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 | Fold: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 | **: 0.0
Bet: 0.9997 | Check: 0.0003 | : 0.0 |  Bet: 0.0
Fold: 1.0 | Call: 0.0 | : 0.0 | **: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 | **: 0.0
Bet: 0.9933 | Check: 0.0067 | : 0.0 |  Bet: 0.0
Check: 1.0 | Bet: 0.0 | Fold: 0.0 | : 0.0
Fold: 1.0 | Call: 0.0 | : 0.0 | Check: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 | **: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 | **: 0.0
Call: 0.9991 | Fold: 0.0009 |  Call: 0.0 | CALL: 0.0
Fold: 1.0 | Call: 0.0 |  Fold: 0.0 | : 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 |  Bet: 0.0
Fold: 1.0 | Call: 0.0 | : 0.0 | F: 0.0
Bet: 0.9968 | Check: 0.0032 | : 0.0 |  Bet: 0.0
